Date,Rented Bike Count,Hour,Temperature(∞C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(∞C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Functioning Day,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday
1484179200000000000,253,0,-5.2,37.0,2.2,2000,-17.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,203,1,-5.5,38.0,0.8,2000,-17.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,172,2,-6.0,39.0,1.0,2000,-17.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,106,3,-6.2,40.0,0.9,2000,-17.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,77,4,-6.0,36.0,2.3,2000,-18.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,99,5,-6.4,37.0,1.5,2000,-18.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,180,6,-6.6,35.0,1.3,2000,-19.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,459,7,-7.4,38.0,0.9,2000,-19.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,918,8,-7.6,37.0,1.1,2000,-19.8,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,488,9,-6.5,27.0,0.5,1928,-22.4,0.23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,338,10,-3.5,24.0,1.2,1996,-21.2,0.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,359,11,-0.5,21.0,1.3,1936,-20.2,0.94,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,448,12,1.7,23.0,1.4,2000,-17.2,1.11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,450,13,2.4,25.0,1.6,2000,-15.6,1.16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,446,14,3.0,26.0,2.0,2000,-14.6,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,462,15,2.1,36.0,3.2,2000,-11.4,0.54,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,482,16,1.2,54.0,4.2,793,-7.0,0.24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,552,17,0.8,58.0,1.6,2000,-6.5,0.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,851,18,0.6,66.0,1.4,2000,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,595,19,0.0,77.0,1.7,2000,-3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,425,20,-0.3,79.0,1.5,1913,-3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,404,21,-0.8,81.0,0.8,1687,-3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,397,22,-0.9,83.0,1.5,1380,-3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1484179200000000000,322,23,-1.3,84.0,1.0,1265,-3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,327,0,-1.8,87.0,1.1,994,-3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,307,1,-2.2,86.0,0.6,990,-4.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
