Date,Rented Bike Count,Temperature(∞C),Humidity(%),Visibility (10m),Dew point temperature(∞C),Functioning Day,Seasons_Spring,Seasons_Summer,Seasons_Winter
1484179200000000000,253,-5.2,37.0,2000,-17.6,1,0.0,0.0,1.0
1484179200000000000,203,-5.5,38.0,2000,-17.6,1,0.0,0.0,1.0
1484179200000000000,172,-6.0,39.0,2000,-17.7,1,0.0,0.0,1.0
1484179200000000000,106,-6.2,40.0,2000,-17.6,1,0.0,0.0,1.0
1484179200000000000,77,-6.0,36.0,2000,-18.6,1,0.0,0.0,1.0
1484179200000000000,99,-6.4,37.0,2000,-18.7,1,0.0,0.0,1.0
1484179200000000000,180,-6.6,35.0,2000,-19.5,1,0.0,0.0,1.0
1484179200000000000,459,-7.4,38.0,2000,-19.3,1,0.0,0.0,1.0
1484179200000000000,918,-7.6,37.0,2000,-19.8,1,0.0,0.0,1.0
1484179200000000000,488,-6.5,27.0,1928,-22.4,1,0.0,0.0,1.0
1484179200000000000,338,-3.5,24.0,1996,-21.2,1,0.0,0.0,1.0
1484179200000000000,359,-0.5,21.0,1936,-20.2,1,0.0,0.0,1.0
1484179200000000000,448,1.7,23.0,2000,-17.2,1,0.0,0.0,1.0
1484179200000000000,450,2.4,25.0,2000,-15.6,1,0.0,0.0,1.0
1484179200000000000,446,3.0,26.0,2000,-14.6,1,0.0,0.0,1.0
1484179200000000000,462,2.1,36.0,2000,-11.4,1,0.0,0.0,1.0
1484179200000000000,482,1.2,54.0,793,-7.0,1,0.0,0.0,1.0
1484179200000000000,552,0.8,58.0,2000,-6.5,1,0.0,0.0,1.0
1484179200000000000,851,0.6,66.0,2000,-5.0,1,0.0,0.0,1.0
1484179200000000000,595,0.0,77.0,2000,-3.5,1,0.0,0.0,1.0
1484179200000000000,425,-0.3,79.0,1913,-3.5,1,0.0,0.0,1.0
1484179200000000000,404,-0.8,81.0,1687,-3.6,1,0.0,0.0,1.0
1484179200000000000,397,-0.9,83.0,1380,-3.4,1,0.0,0.0,1.0
1484179200000000000,322,-1.3,84.0,1265,-3.6,1,0.0,0.0,1.0
1486857600000000000,327,-1.8,87.0,994,-3.6,1,0.0,0.0,1.0
1486857600000000000,307,-2.2,86.0,990,-4.2,1,0.0,0.0,1.0
1486857600000000000,261,-2.9,86.0,1256,-4.9,1,0.0,0.0,1.0
1486857600000000000,166,-3.5,81.0,1221,-6.2,1,0.0,0.0,1.0
1486857600000000000,88,-3.8,79.0,1167,-6.9,1,0.0,0.0,1.0
1486857600000000000,78,-4.0,79.0,1202,-7.1,1,0.0,0.0,1.0
1486857600000000000,69,-4.3,82.0,1178,-6.9,1,0.0,0.0,1.0
1486857600000000000,145,-4.4,81.0,1276,-7.1,1,0.0,0.0,1.0
1486857600000000000,218,-4.2,79.0,1436,-7.3,1,0.0,0.0,1.0
1486857600000000000,327,-2.9,68.0,1487,-7.9,1,0.0,0.0,1.0
1486857600000000000,333,-0.4,57.0,1309,-7.8,1,0.0,0.0,1.0
1486857600000000000,387,1.9,49.0,1406,-7.7,1,0.0,0.0,1.0
1486857600000000000,477,4.3,41.0,1666,-7.8,1,0.0,0.0,1.0
1486857600000000000,600,6.0,36.0,1780,-7.9,1,0.0,0.0,1.0
1486857600000000000,604,7.3,35.0,1955,-7.1,1,0.0,0.0,1.0
1486857600000000000,585,7.6,41.0,1953,-4.8,1,0.0,0.0,1.0
1486857600000000000,611,6.4,48.0,1945,-3.8,1,0.0,0.0,1.0
1486857600000000000,569,6.0,51.0,1891,-3.3,1,0.0,0.0,1.0
1486857600000000000,487,5.5,53.0,1697,-3.3,1,0.0,0.0,1.0
1486857600000000000,384,5.0,52.0,1666,-4.0,1,0.0,0.0,1.0
1486857600000000000,358,4.6,51.0,1585,-4.6,1,0.0,0.0,1.0
1486857600000000000,376,4.1,55.0,1448,-4.1,1,0.0,0.0,1.0
1486857600000000000,353,3.5,54.0,1446,-4.9,1,0.0,0.0,1.0
1486857600000000000,365,4.0,56.0,1352,-4.0,1,0.0,0.0,1.0
1489276800000000000,341,4.0,58.0,1296,-3.5,1,0.0,0.0,1.0
1489276800000000000,226,3.9,69.0,485,-1.2,1,0.0,0.0,1.0
1489276800000000000,227,3.3,79.0,830,0.0,1,0.0,0.0,1.0
1489276800000000000,116,3.4,71.0,1011,-1.3,1,0.0,0.0,1.0
1489276800000000000,75,3.5,73.0,1060,-0.8,1,0.0,0.0,1.0
1489276800000000000,31,3.9,75.0,914,-0.1,1,0.0,0.0,1.0
1489276800000000000,12,3.4,86.0,278,1.2,1,0.0,0.0,1.0
1489276800000000000,21,3.1,91.0,129,1.7,1,0.0,0.0,1.0
1489276800000000000,84,3.2,92.0,244,2.0,1,0.0,0.0,1.0
1489276800000000000,151,3.5,91.0,231,2.1,1,0.0,0.0,1.0
1489276800000000000,199,4.4,89.0,257,2.7,1,0.0,0.0,1.0
1489276800000000000,272,5.1,87.0,321,3.1,1,0.0,0.0,1.0
1489276800000000000,332,5.8,85.0,349,3.4,1,0.0,0.0,1.0
1489276800000000000,493,6.8,81.0,390,3.7,1,0.0,0.0,1.0
1489276800000000000,560,7.6,76.0,422,3.6,1,0.0,0.0,1.0
1489276800000000000,614,8.0,73.0,433,3.4,1,0.0,0.0,1.0
1489276800000000000,594,7.6,77.0,399,3.8,1,0.0,0.0,1.0
1489276800000000000,542,6.7,82.0,358,3.8,1,0.0,0.0,1.0
1489276800000000000,442,6.0,84.0,327,3.4,1,0.0,0.0,1.0
1489276800000000000,421,5.7,85.0,309,3.3,1,0.0,0.0,1.0
1489276800000000000,396,5.2,87.0,253,3.2,1,0.0,0.0,1.0
1489276800000000000,384,4.7,87.0,247,2.7,1,0.0,0.0,1.0
1489276800000000000,349,4.3,89.0,201,2.6,1,0.0,0.0,1.0
1489276800000000000,302,3.9,90.0,194,2.4,1,0.0,0.0,1.0
1491955200000000000,284,4.2,88.0,216,2.3,1,0.0,0.0,1.0
1491955200000000000,185,4.3,87.0,221,2.3,1,0.0,0.0,1.0
1491955200000000000,111,4.4,87.0,207,2.4,1,0.0,0.0,1.0
1491955200000000000,64,3.6,85.0,206,1.3,1,0.0,0.0,1.0
1491955200000000000,40,2.8,89.0,130,1.1,1,0.0,0.0,1.0
1491955200000000000,81,2.0,83.0,253,-0.5,1,0.0,0.0,1.0
1491955200000000000,199,1.2,76.0,371,-2.5,1,0.0,0.0,1.0
1491955200000000000,496,0.2,68.0,702,-5.0,1,0.0,0.0,1.0
1491955200000000000,925,-0.8,69.0,954,-5.7,1,0.0,0.0,1.0
1491955200000000000,507,-1.5,47.0,1888,-11.3,1,0.0,0.0,1.0
1491955200000000000,310,-1.1,40.0,2000,-13.0,1,0.0,0.0,1.0
1491955200000000000,378,-0.5,41.0,1799,-12.1,1,0.0,0.0,1.0
1491955200000000000,392,-0.3,38.0,1823,-12.9,1,0.0,0.0,1.0
1491955200000000000,390,0.0,30.0,1938,-15.5,1,0.0,0.0,1.0
1491955200000000000,337,0.1,27.0,2000,-16.7,1,0.0,0.0,1.0
