Date,Rented Bike Count,Temperature(∞C),Humidity(%),Visibility (10m),Dew point temperature(∞C),Functioning Day,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday
1.48418E+18,253,-5.2,37,2000,-17.6,1,0,0,1,No Holiday
1.48418E+18,203,-5.5,38,2000,-17.6,1,0,0,1,No Holiday
1.48418E+18,172,-6,39,2000,-17.7,1,0,0,1,No Holiday
1.48418E+18,106,-6.2,40,2000,-17.6,1,0,0,1,No Holiday
1.48418E+18,77,-6,36,2000,-18.6,1,0,0,1,No Holiday
1.48418E+18,99,-6.4,37,2000,-18.7,1,0,0,1,No Holiday
1.48418E+18,180,-6.6,35,2000,-19.5,1,0,0,1,No Holiday
1.48418E+18,459,-7.4,38,2000,-19.3,1,0,0,1,No Holiday
1.48418E+18,918,-7.6,37,2000,-19.8,1,0,0,1,No Holiday
1.48418E+18,488,-6.5,27,1928,-22.4,1,0,0,1,No Holiday
1.48418E+18,338,-3.5,24,1996,-21.2,1,0,0,1,No Holiday
1.48418E+18,359,-0.5,21,1936,-20.2,1,0,0,1,No Holiday
1.48418E+18,448,1.7,23,2000,-17.2,1,0,0,1,No Holiday
1.48418E+18,450,2.4,25,2000,-15.6,1,0,0,1,No Holiday
1.48418E+18,446,3,26,2000,-14.6,1,0,0,1,No Holiday
1.48418E+18,462,2.1,36,2000,-11.4,1,0,0,1,No Holiday
1.48418E+18,482,1.2,54,793,-7,1,0,0,1,No Holiday
1.48418E+18,552,0.8,58,2000,-6.5,1,0,0,1,No Holiday
1.48418E+18,851,0.6,66,2000,-5,1,0,0,1,No Holiday
